time,MSD,omega,error
1,1,0.05,0
2,1.986,0.05,0.04458479561
3,2.94,0.05,0.07523562986
5,5.172,0.05,0.1420507515
8,7.578,0.05,0.2265963724
13,12.052,0.05,0.3775887922
21,20.152,0.05,0.6600006788
34,32.142,0.05,1.042907396
55,49.168,0.05,1.569306782
88,82.508,0.05,2.715884743
142,124.506,0.05,4.090699202
227,196.332,0.05,6.55192077
365,328.300332,0.05,10.69225317
586,459.2803003,0.05,14.74909323
941,759.1632803,0.05,26.87485955
1509,1131.263163,0.05,39.84239203
2422,1565.763263,0.05,58.38198764
3885,2325.369763,0.05,89.78782126
6233,2994.47337,0.05,133.624288
10000,3066.454473,0.05,150.940153
1,1,0.1,0
2,2.014,0.1,0.04573624383
3,2.904,0.1,0.07688162329
5,4.884,0.1,0.1342331703
8,7.22,0.1,0.2146802273
13,12.112,0.1,0.3801624074
21,18.832,0.1,0.6024780295
34,27.564,0.1,0.9041249383
55,45.06,0.1,1.43619929
88,69.748,0.1,2.409013179
142,103.936,0.1,3.706015098
227,148.976,0.1,5.430350212
365,226.340976,0.1,9.085131432
586,279.604341,0.1,12.33738134
941,319.0596043,0.1,15.54045245
1509,334.1510596,0.1,17.84458545
2422,300.1741511,0.1,16.30945067
3885,336.8961742,0.1,16.81291499
6233,312.1448962,0.1,16.66608439
10000,326.4401449,0.1,17.97122479
1,1,0.2,0
2,1.93,0.2,0.04612049436
3,2.68,0.2,0.07239889502
5,4.544,0.2,0.1404566268
8,6.832,0.2,0.2261587407
13,10.224,0.2,0.3216050746
21,16.212,0.2,0.5603740322
34,23.718,0.2,0.8863388043
55,32.5,0.2,1.250992406
88,39.088,0.2,1.839610898
142,46.902,0.2,2.427253262
227,55,0.2,3.374062456
365,55.947612,0.2,3.179711576
586,53.80394761,0.2,2.975806432
941,49.26980395,0.2,2.616765314
1509,53.4372698,0.2,3.19154965
2422,53.48743727,0.2,3.109934338
3885,50.89748744,0.2,2.617081269
6233,46.95089749,0.2,2.515535111
10000,55.7489509,0.2,3.11800686