time,MSD,k,error
1,1,0,0
2,1.532,0,0.0614896414
3,2.112,0,0.08751831808
5,2.816,0,0.1402788081
8,2.844,0,0.1817901648
13,3.328,0,0.2104956437
21,3.136,0,0.1985081963
34,2.464,0,0.18367554
55,3.2,0,0.2048023437
88,2.624,0,0.2123266917
142,2.652,0,0.1991755407
227,2.6,0,0.1813725448
365,2.9546,0,0.203464972
586,2.9389546,0,0.261236815
941,2.938938955,0,0.2214667468
1509,3.466938939,0,0.2596883118
2422,2.539466939,0,0.2283824979
3885,2.810539467,0,0.1991368257
6233,3.058810539,0,0.1909011071
10000,2.771058811,0,0.2309957416
1,1,0.5,0
2,2.548,0.5,0.06082512639
3,4.272,0.5,0.124378519
5,6.8,0.5,0.2688494002
8,10.056,0.5,0.4906453546
13,12.024,0.5,0.6794405228
21,14.36,0.5,0.9759704914
34,14.46,0.5,1.118876401
55,15.104,0.5,1.166706983
88,13.12,0.5,0.9945579923
142,15.484,0.5,1.13011404
227,14.92,0.5,1.137475099
365,16.30292,0.5,1.640861742
586,14.36830292,0.5,0.9991186534
941,13.8383683,0.5,1.361458133
1509,14.18183837,0.5,1.1121585
2422,12.47418184,0.5,0.8980650358
3885,14.35647418,0.5,1.114880162
6233,13.30235647,0.5,0.8650135134
10000,14.11730236,0.5,1.167860854
1,1,1,0
2,3.292,1,0.04827769671
3,6.376,1,0.1187713097
5,14.432,1,0.3382741137
8,25.436,1,0.7738746048
13,43.776,1,1.641981067
21,67.224,1,2.918659594
34,98.288,1,5.282733862
55,128.8,1,7.593843296
88,132.2,1,8.642821299
142,119.052,1,8.648158029
227,112.4,1,7.933956894
365,121.2084,1,8.112162794
586,105.0132084,1,7.024941048
941,128.0090132,1,10.15304871
1509,117.464009,1,8.933687553
2422,119.073464,1,9.167701497
3885,127.0630735,1,8.607669638
6233,129.2550631,1,9.07032335
10000,122.1332551,1,9.688402843